entity,type,description,embedding
D_star,Algorithm,Dynamic A star for dynamic environments,"[0.18174543976783752, -0.06207333132624626, -0.04050745442509651, 0.19943897426128387, 0.17452199757099152, -0.01705126464366913, -0.28332388401031494, 0.21749234199523926, 0.007189048919826746, 0.045233987271785736, 0.01423337496817112, -0.2951135039329529, 0.05544658377766609, -0.2553388476371765, -0.11419249325990677, -0.04507159814238548, 0.2273198515176773, 0.07570736855268478, 0.054759666323661804, 0.11254002898931503, 0.2628045380115509, -0.04479988291859627, 0.4923175275325775, -0.03928254544734955, -0.053943805396556854, 0.07756716758012772, -0.0982474610209465, -0.025719840079545975, -0.025334011763334274, -0.16621161997318268, -0.127748504281044, -0.021719127893447876, -0.06759297847747803, 0.07762864977121353, -0.2459956556558609, -0.0744413435459137, 0.3176710605621338, -0.0895393118262291, 0.12198682129383087, -0.043647345155477524, 0.049428828060626984, -0.12443234026432037, 0.18819181621074677, -0.15528149902820587, -0.11757267266511917, -0.05422951653599739, -0.1122392863035202, -0.09087863564491272, -0.10505113005638123, 0.15415139496326447, 0.011372160166501999, -0.09220624715089798, 0.24561519920825958, 0.18468673527240753, -0.0765620619058609, -0.1022103801369667, 0.101797915995121, -0.17067144811153412, -0.16555044054985046, 0.1321057230234146, 0.005841737613081932, -0.021803302690386772, 0.027776358649134636, 0.12603077292442322, 0.05107756704092026, -0.14402547478675842, 0.1134471446275711, -0.0020890338346362114, 0.06926656514406204, 0.05528786778450012, 0.10421018302440643, 0.03167048841714859, -0.13535992801189423, 0.0032382693607360125, -0.1793440729379654, -0.32628822326660156, -0.08277438580989838, -0.008206705562770367, -0.035909801721572876, 0.39663925766944885, -0.04295303672552109, 0.04400069639086723, -0.016583621501922607, 0.003191334893926978, 0.1526336669921875, 0.11088404804468155, 0.24971617758274078, 0.14679773151874542, 0.07597082108259201, 0.13851165771484375, -0.025393998250365257, -0.2095240354537964, -0.04252292960882187, 0.045796822756528854, 0.18805091083049774, -0.10034440457820892, -0.0672578364610672, -0.23969581723213196, -0.053406972438097, 0.009695864282548428, -1.5281153537216596e-05, 0.09694145619869232, -0.14394314587116241, 0.051047198474407196, 0.008990487083792686, -0.22460508346557617, -0.008891050703823566, -0.04103977233171463, 0.05042128264904022, -0.03821256756782532, -0.1867721676826477, -0.1524670124053955, 0.022820299491286278, 0.11509589850902557, -0.14619851112365723, 0.003178179496899247, 0.07537612318992615, 0.22777625918388367, 0.161166250705719, -0.12420331686735153, -0.18384574353694916, -0.22972293198108673, 0.0500008761882782, -0.04012815281748772, 0.04403203725814819, -0.04175208508968353, -0.10897622257471085, 0.2453814446926117]"
LPA_star,Algorithm,Lifelong Planning A star,"[0.08484083414077759, 0.06456790119409561, 0.07055166363716125, -0.0036794745828956366, 0.1779862940311432, -0.07976379990577698, -0.11467307806015015, 0.37144774198532104, -0.07489996403455734, -0.08331314474344254, 0.199569970369339, -0.21363042294979095, -0.07710326462984085, -0.22580887377262115, -0.06877671182155609, -0.0949220284819603, 0.16311931610107422, -0.07415755838155746, -0.16409419476985931, -0.03266790136694908, 0.09295742958784103, -0.0971418023109436, 0.17347045242786407, -0.2714233100414276, -0.06135678291320801, -0.058395642787218094, -0.14316372573375702, 0.08614794164896011, 0.06568454205989838, -0.07584231346845627, -0.13392513990402222, 0.15600188076496124, -0.013038739562034607, -0.0743122324347496, -0.14923392236232758, -0.10370133072137833, 0.08813288807868958, 0.0686451643705368, 0.023946117609739304, -0.19909782707691193, 0.12082765251398087, -0.1059669703245163, 0.019396433606743813, -0.13930988311767578, 0.07133831083774567, -0.21317797899246216, -0.16980235278606415, -0.20440372824668884, -0.10993164032697678, 0.2415514439344406, 0.1575165092945099, -0.03641049563884735, 0.19603994488716125, 0.07910268753767014, 0.057382576167583466, -0.1166965514421463, 0.2886061668395996, -0.12683476507663727, -0.025952430441975594, 0.06527247279882431, -0.07993873953819275, -0.07658455520868301, 0.02278902940452099, -0.01559744868427515, -0.044501591473817825, 0.0826343446969986, 0.08489234000444412, 0.13758613169193268, -0.051066335290670395, -0.033621639013290405, 0.1587407886981964, 0.22146649658679962, -0.15232346951961517, -0.0012301328824833035, -0.07188209891319275, -0.3351256847381592, 0.07381878793239594, -0.10574666410684586, -0.004428456537425518, 0.2138873040676117, 0.007493313401937485, -0.2701358497142792, 0.07156813889741898, 0.1054224893450737, 0.25969308614730835, 0.03190592676401138, 0.25207656621932983, 0.14303931593894958, 0.17305335402488708, 0.022611595690250397, -0.14684048295021057, -0.12547998130321503, -0.10877739638090134, -0.017091723158955574, 0.09481329470872879, 0.056077681481838226, 0.02843281999230385, -0.14502324163913727, -0.0984170138835907, -0.14321331679821014, 0.06238110736012459, -0.01979779452085495, -0.04347887635231018, 0.13736288249492645, 0.13199098408222198, -0.3920499384403229, 0.05545908212661743, -0.27234184741973877, -0.14123401045799255, -0.02577488124370575, 0.06190478801727295, 0.11878109723329544, 0.10226887464523315, 0.1607576310634613, -0.06811278313398361, -0.04630482941865921, 0.01989937387406826, 0.19596043229103088, 0.17697864770889282, 0.03285202756524086, -0.08427177369594574, -0.20923130214214325, 0.3447771966457367, -0.12641286849975586, 0.09185366332530975, 0.10151831060647964, 0.03876939415931702, 0.1997828334569931]"
AD_star,Algorithm,Anytime Dynamic A star algorithm,"[0.16036716103553772, -0.19295985996723175, 0.05760377645492554, 0.003998545464128256, -0.03298651799559593, -0.07995922118425369, -0.28608980774879456, 0.20273710787296295, 0.05446373671293259, -0.12419169396162033, 0.26027989387512207, -0.12248653173446655, -0.23091335594654083, -0.12163525074720383, -0.006614784710109234, 0.05001610890030861, 0.010533315129578114, -0.03656358644366264, 0.0005703723290935159, -0.28992339968681335, 0.04806184768676758, 0.07855876535177231, 0.17506542801856995, -0.1455063819885254, -0.02345435321331024, -0.1329498440027237, -0.0972123071551323, 0.26061058044433594, -0.02869531139731407, 0.06178313121199608, -0.0814267098903656, -0.0078030480071902275, 0.06293891370296478, -0.12553834915161133, 0.06680577993392944, -0.0916675552725792, 0.08260352909564972, -0.04039059579372406, 0.22324644029140472, -0.07831423729658127, 0.19450633227825165, -0.135707288980484, -0.05741962790489197, -0.18381349742412567, 0.00033554917899891734, -0.10962329804897308, 0.06561864167451859, -0.09354741871356964, -0.13764837384223938, 0.181960791349411, 0.18724127113819122, -0.174611896276474, 0.08829110860824585, 0.12872418761253357, 0.15038666129112244, -0.21849070489406586, 0.2861185073852539, -0.033488452434539795, -0.16885975003242493, 0.22773493826389313, -0.08029485493898392, -0.008494331501424313, 0.14028742909431458, 0.07713042199611664, -0.013127272017300129, -0.022147879004478455, 0.044717784970998764, 0.18200170993804932, -0.038088493049144745, 0.006874768529087305, 0.03495488315820694, 0.046406734734773636, -0.06531030684709549, -0.11369054764509201, -0.06737679988145828, -0.3434586226940155, 0.013927500694990158, 0.00476982444524765, -0.14172589778900146, 0.07864131033420563, -0.005245586857199669, -0.16675306856632233, -0.022277291864156723, 0.13667422533035278, 0.33885741233825684, 0.23534387350082397, 0.22662268579006195, 0.07473447918891907, -0.0072354841977357864, 0.2876458168029785, -0.18524354696273804, -0.09125151485204697, 0.06130725145339966, 0.028071261942386627, 0.07376336306333542, -0.04060005769133568, 0.09734970331192017, -0.19047202169895172, 0.030731135979294777, -0.11667066067457199, 0.010061454959213734, -0.005751919932663441, -0.14599977433681488, 0.10279028862714767, -0.027465101331472397, -0.4266943633556366, 0.01718393713235855, 0.01980479247868061, -0.163066565990448, -0.1878291368484497, -0.06849012523889542, -0.04280636087059975, -0.02211509831249714, 0.29067105054855347, -0.0843849927186966, 0.030760105699300766, 0.008963239379227161, 0.2127196490764618, 0.13886180520057678, 0.02703760750591755, -0.14353501796722412, -0.21381540596485138, 0.10864967852830887, 0.015917738899588585, 0.18410201370716095, -0.02612350508570671, -0.02727823331952095, 0.05038118734955788]"
Lidar,Sensor,Laser Detection and Ranging sensor,"[-0.05992425978183746, -0.27048179507255554, 0.23215380311012268, -0.17031262814998627, 0.13573047518730164, -0.17290960252285004, -0.08197182416915894, -0.025292275473475456, -0.0924379825592041, 0.026748450472950935, 0.2316218912601471, -0.06547081470489502, -0.03200521692633629, -0.005818837787955999, 0.08641231060028076, 0.09990710765123367, 0.022893333807587624, 0.06699412316083908, -0.03862044960260391, 0.060853615403175354, -0.02179781347513199, 0.1500830501317978, 0.15530341863632202, -0.02362964302301407, 0.06999322026968002, -0.00045820826198905706, -0.058485522866249084, 0.06878215074539185, 0.04233605042099953, 0.045105479657649994, 0.01451941393315792, -0.054372094571590424, 0.02021573670208454, 0.07606590539216995, -0.1971946656703949, 0.03043995052576065, 0.06505844742059708, 0.07880039513111115, 0.14862219989299774, -0.19126015901565552, 0.08170562982559204, -0.08185242116451263, 0.039072271436452866, -0.30665919184684753, 0.13309349119663239, 0.03882978484034538, 0.0405208058655262, -0.2213098555803299, -0.007913256995379925, 0.02216155081987381, 0.051244281232357025, -0.09547552466392517, 0.1283029168844223, -0.012698709033429623, 0.054247938096523285, 0.04250000789761543, 0.09329034388065338, 0.026507683098316193, 0.040990546345710754, -0.047602973878383636, 0.1796877682209015, -0.03759501129388809, 0.02537829801440239, -0.11056101322174072, 0.0757279321551323, 0.03505147993564606, 0.0299332644790411, -0.06458806991577148, 0.145656555891037, 0.022956447675824165, 0.2185855209827423, 0.005615996662527323, 0.05872200429439545, -0.09259474277496338, -0.0722346156835556, -0.08218636363744736, -0.053657904267311096, 0.19755564630031586, -0.022449225187301636, 0.3285086452960968, -0.08947000652551651, 0.10249543935060501, -0.0481376051902771, 0.33038997650146484, 0.0943688377737999, 0.04846159741282463, 0.12844960391521454, -0.16783583164215088, 0.08725374937057495, 0.16908957064151764, -0.12795700132846832, -0.10425486415624619, -0.03576313331723213, -0.06108234077692032, 0.18887841701507568, 0.051137812435626984, -0.13483376801013947, -0.010788032785058022, -0.022305632010102272, -0.1452304571866989, -0.11421821266412735, 0.0035607367753982544, -0.0802319347858429, -0.07286321371793747, -0.04615351930260658, -0.012766266241669655, -0.0008645454654470086, 0.03994652256369591, 0.048961345106363297, -0.12259777635335922, 0.06050160899758339, 0.11582885682582855, -0.0049206954427063465, -0.04505340754985809, -0.1542094349861145, -0.17534293234348297, -0.05997561290860176, 0.059766922146081924, -0.006483003962785006, 0.03618614375591278, -0.07963144779205322, -0.04264992102980614, -0.13322804868221283, 0.09184115380048752, -0.0707298070192337, 0.03719807416200638, -0.3236062228679657, 0.07019595056772232]"
Camera,Sensor,Visual perception camera,"[-0.25891637802124023, -0.003809239249676466, 0.2119051069021225, -0.15087740123271942, -0.09370803087949753, -0.07810954004526138, -0.025022035464644432, -0.12881407141685486, -0.0643429160118103, -0.15465612709522247, 0.339553564786911, -0.02611551247537136, -0.12262902408838272, -0.1010100245475769, -0.07094824314117432, 0.03901289030909538, 0.14187540113925934, -0.0028571130242198706, -0.04370974749326706, 0.04854624345898628, -0.06603793799877167, 0.1061360165476799, 0.041456013917922974, -0.010068067349493504, -0.2633086144924164, -0.137851282954216, -0.045846521854400635, 0.1553926169872284, -0.36020010709762573, -0.08409710973501205, 0.04881414771080017, -0.224362313747406, -0.06419291347265244, 0.11492408066987991, -0.010297635570168495, 0.13168716430664062, 0.22246971726417542, 0.23184357583522797, 0.046847254037857056, 0.042446069419384, 0.054907821118831635, -0.0818529725074768, 0.08122345060110092, -0.16865189373493195, 0.10933234542608261, 0.04370313882827759, 0.15455223619937897, -0.19506937265396118, -0.09299375116825104, 0.2722207307815552, -0.09355759620666504, -0.0015127884689718485, 0.13711249828338623, 0.04204241558909416, -0.17874105274677277, 0.028398867696523666, -0.03809938579797745, -0.10004757344722748, -0.09825576096773148, 0.34440186619758606, -0.020964840427041054, 0.08276444673538208, 0.014146759174764156, -0.1507246494293213, -0.01255466602742672, 0.2022870033979416, -0.24545295536518097, -0.1660139113664627, -0.20736509561538696, -0.20836545526981354, 0.2547706365585327, -0.3275655508041382, -0.1601703017950058, -0.22163154184818268, -0.09536685049533844, -0.1741245836019516, 0.10528626292943954, -0.24669872224330902, -0.01946062035858631, 0.30390653014183044, 0.15743453800678253, 0.089178167283535, 0.1875797063112259, 0.1997889131307602, -0.06313306838274002, 0.06310127675533295, -0.11120492219924927, -0.027967749163508415, 0.019511695951223373, -0.24257425963878632, -0.15581294894218445, -0.15628980100154877, 0.11081986874341965, 0.1937790811061859, 0.06757078319787979, 0.1496059000492096, -0.10691548883914948, 0.039338164031505585, -0.04378542676568031, -0.27204805612564087, -0.29445093870162964, -0.07039283961057663, 0.09606453776359558, 0.25461289286613464, -0.007889196276664734, -0.1720389425754547, 0.2794482707977295, -0.12724512815475464, -0.01816929131746292, -0.259891152381897, -0.15728138387203217, 0.18101225793361664, 0.2677258551120758, 0.10386773198843002, 0.07524115592241287, -0.37331804633140564, 0.03857877478003502, -0.0855117067694664, -0.16757544875144958, -0.15437406301498413, -0.08918654918670654, -0.124052494764328, -0.12367073446512222, 0.024748871102929115, -0.046090018004179, 0.04237145930528641, 0.08168341964483261, 0.06825529038906097]"
IMU,Sensor,Inertial Measurement Unit,"[-0.1148107647895813, -0.20988641679286957, 0.07277150452136993, -0.06437747180461884, -0.03227269649505615, -0.14399021863937378, 0.08430808037519455, -0.10360771417617798, 0.05907323583960533, -0.044529981911182404, 0.20411176979541779, -0.09304343163967133, -0.05655331909656525, -0.07689443975687027, 0.18075992166996002, 0.12566672265529633, 0.13170261681079865, 0.016527803614735603, -0.13885913789272308, 0.03560766950249672, -0.09113045036792755, 0.12548182904720306, -0.0429326668381691, 0.06364487111568451, -0.16014991700649261, 0.12015660852193832, 0.033013176172971725, -0.008785411715507507, 0.031152445822954178, -0.0613781176507473, -0.22527268528938293, 0.06799639761447906, 0.11732121556997299, 0.10903214663267136, -0.18496009707450867, 0.35958778858184814, 0.2383936494588852, 0.021612616255879402, 0.1463335007429123, -0.02121065743267536, 0.20438127219676971, 0.16505655646324158, 0.06713932007551193, -0.08444585651159286, 0.01671929657459259, 0.08536834269762039, -0.04923274368047714, -0.1318623274564743, 0.006453641224652529, -0.11093301326036453, 0.05575568228960037, -0.013613272458314896, 0.31990036368370056, 0.09774183481931686, 0.08403674513101578, -0.051067449152469635, -0.028990324586629868, 0.13113240897655487, 0.02194487862288952, 0.18081268668174744, -0.06595993041992188, -0.07910307496786118, 0.022512175142765045, 0.0069408053532242775, -0.028716467320919037, 0.16756398975849152, -0.13725680112838745, -0.1445639580488205, -0.12139742821455002, -0.11680606752634048, 0.17227694392204285, -0.2032775729894638, -0.20201940834522247, -0.04252217337489128, 0.10510396957397461, -0.1935439258813858, 0.08578760176897049, -0.05731125921010971, -0.020360587164759636, 0.22355367243289948, 0.11064028739929199, -0.25906485319137573, 0.02783019281923771, 0.19992010295391083, 0.10236357897520065, -0.1492495834827423, 0.09763091057538986, -0.04818299412727356, 0.09084518253803253, 0.006297572515904903, -0.14966358244419098, 0.08496029675006866, 0.07592605799436569, 0.1030242070555687, 0.21067123115062714, -0.03607545047998428, -0.2280191034078598, -0.10834311693906784, -0.07983533293008804, -0.08178878575563431, -0.21025528013706207, 0.021006634458899498, 0.019986284896731377, 0.1213233694434166, 0.09846284240484238, -0.13319852948188782, 0.04888666793704033, 0.12449505925178528, 0.06745085120201111, -0.11832482367753983, -0.006085401400923729, 0.02922978438436985, 0.11419986188411713, 0.04089352488517761, -0.20046637952327728, -0.2518541216850281, 0.05140116810798645, 0.07761577516794205, -0.20277497172355652, -0.09931015968322754, -0.07843095809221268, -0.18694449961185455, 0.020665880292654037, 0.12240829318761826, -0.036541301757097244, 0.024464605376124382, 0.18035385012626648, 0.1027769148349762]"
GPS,Sensor,Global Positioning System,"[-0.14640377461910248, -0.2845277190208435, 0.12007435411214828, -0.14833183586597443, -0.10901641845703125, -0.30685609579086304, 0.19547052681446075, -0.08451374620199203, -0.04013458639383316, 0.13441593945026398, 0.09870953857898712, 0.03143148869276047, -0.26587602496147156, -0.06685739010572433, -0.02905741147696972, 0.35671743750572205, -0.12251327931880951, 0.08751522749662399, -0.056379374116659164, 0.30098652839660645, -0.01970180869102478, 0.19964201748371124, -0.07365240156650543, -0.17878267168998718, -0.13274864852428436, -0.14109449088573456, -0.19524087011814117, 0.0257944967597723, 0.19920986890792847, -0.3804020881652832, 0.1148318350315094, 0.07204357534646988, 0.15312550961971283, 0.38526248931884766, -0.2588338553905487, -0.025351133197546005, 0.3040728271007538, -0.0630817860364914, -0.010016318410634995, -0.18603239953517914, -0.04830262064933777, 0.022691233083605766, 0.20869696140289307, -0.2635060250759125, -0.014767367392778397, 0.027668992057442665, 0.16108499467372894, -0.1720411330461502, 0.09424605220556259, -0.08607258647680283, 0.1352149099111557, -0.311894953250885, 0.011916205286979675, 0.059179291129112244, 0.37271401286125183, 0.36941108107566833, 0.21293920278549194, -0.14471419155597687, 0.16963329911231995, 0.20423345267772675, 0.25977712869644165, -0.07376205921173096, 0.0009032578091137111, -0.1603342741727829, -0.14626313745975494, 0.18619868159294128, 0.0993247702717781, 0.031217409297823906, -0.2474067062139511, 0.030502913519740105, 0.31496480107307434, 0.270027220249176, -0.24719253182411194, 0.17090652883052826, 0.036794476211071014, -0.3318662941455841, -0.12577074766159058, -0.182627335190773, 0.049147866666316986, 0.22999437153339386, 0.3027181327342987, -0.28367409110069275, 0.021297140046954155, 0.14853782951831818, 0.35150960087776184, 0.28824982047080994, -0.008258519694209099, 0.027043506503105164, 0.021803757175803185, 0.28994253277778625, 0.0032702491153031588, 0.09966491907835007, 0.33503538370132446, -0.09606371819972992, 0.2340027093887329, -0.06037774309515953, -0.027127815410494804, -0.054600488394498825, -0.31307756900787354, 0.0975557193160057, -0.05288531258702278, 0.17776526510715485, -0.06091735512018204, -0.15797893702983856, 0.0765683650970459, 0.13858148455619812, -0.06868667155504227, 0.250258207321167, 0.04020727425813675, -0.2862365245819092, 0.14436297118663788, 0.1664416342973709, 0.07356002926826477, 0.1766359657049179, -0.1624768227338791, -0.5051747560501099, 0.21572217345237732, 0.20636583864688873, -0.09679457545280457, -0.13212071359157562, -0.202019602060318, -0.009101136587560177, -0.0875144824385643, 0.11060232669115067, -0.09179262816905975, 0.02955588512122631, 0.15081407129764557, -0.1446472406387329]"
Odometry,Sensor,Wheel odometry sensor,"[0.15030360221862793, -0.13655859231948853, 0.20345671474933624, 0.01742600090801716, 0.07912510633468628, -0.12581448256969452, 0.13211925327777863, -0.1993463635444641, -0.04811682552099228, -0.006853513419628143, 0.14348360896110535, 0.0788884088397026, -0.09181639552116394, -0.06651482731103897, 0.12307049334049225, 0.18670238554477692, 0.20464399456977844, -0.10675188153982162, -0.026463035494089127, -8.637658902443945e-05, -0.0011978903785347939, 0.1748386174440384, 0.07568668574094772, -0.14304791390895844, 0.025121206417679787, 0.1319483369588852, -0.015484745614230633, 0.03665919601917267, 0.019917601719498634, 0.013885107822716236, -0.12233050912618637, 0.1127820834517479, 0.017344625666737556, 0.2941328287124634, -0.2026434987783432, -0.05301350727677345, 0.1691380888223648, 0.05627288296818733, 0.07301834225654602, -0.0481954924762249, -0.05760454013943672, 0.051755014806985855, 0.1187904104590416, 0.018087659031152725, 0.11750815808773041, 0.04433850571513176, -0.18012940883636475, -0.027836741879582405, -0.014924569055438042, -0.012707766145467758, 0.042802564799785614, -0.07106348127126694, 0.1392861008644104, -0.06002681329846382, -0.014732676558196545, 0.1767578274011612, 0.21270936727523804, -0.006864078808575869, -0.021175161004066467, -0.02040577307343483, 0.07924682646989822, -0.15639501810073853, -0.13118748366832733, 0.00669855298474431, 0.12460864335298538, -0.12539781630039215, -0.10120896995067596, -0.10621017962694168, -0.06472877413034439, -0.02645529806613922, 0.08674688637256622, -0.03831281140446663, -0.3168739676475525, -0.15010985732078552, -0.09202013909816742, -0.19109539687633514, -0.09260092675685883, 0.10950075834989548, -0.05659284070134163, 0.22829611599445343, 0.1005362719297409, -0.014733507297933102, 0.06871000677347183, 0.312981516122818, 0.1835557222366333, 0.06301228702068329, 0.1723804920911789, -0.10767078399658203, 0.011226286180317402, 0.22484463453292847, -0.15684986114501953, -0.26055482029914856, 0.07796358317136765, -0.03780438005924225, 0.17786885797977448, -0.1080036461353302, 0.07740141451358795, -0.08817970752716064, -0.10207667946815491, -0.09356862306594849, 0.06519618630409241, -0.044278454035520554, -0.023984722793102264, 0.0175478532910347, 0.10408757627010345, -0.10390643775463104, -0.06222192198038101, -0.03867581859230995, 0.1028824895620346, -0.13545052707195282, 0.05241532623767853, 0.059215229004621506, 0.1693822145462036, -0.05698331817984581, -0.16419461369514465, -0.1787155270576477, -0.04722898453474045, 0.1661195158958435, -0.011221378110349178, -0.20911015570163727, 0.0546901561319828, -0.16894418001174927, 0.147156223654747, 0.2749553620815277, -0.19856423139572144, 0.05263729766011238, -0.16247175633907318, -0.010459830984473228]"
Ultrasonic,Sensor,Ultrasonic distance sensor,"[-0.08240615576505661, -0.4034366011619568, 0.21923945844173431, -0.32346734404563904, -0.012012992985546589, -0.10674021393060684, -0.2654315233230591, 0.3529970347881317, -0.06661991029977798, 0.05376556143164635, -0.034183766692876816, -0.10986737161874771, -0.014701069332659245, 0.050949178636074066, 0.10023385286331177, 0.030023084953427315, 0.17834347486495972, 0.11497173458337784, -0.037996672093868256, 0.043506424874067307, 0.16887152194976807, 0.0049989474937319756, -0.26891574263572693, 0.07054243236780167, 0.028755242004990578, -0.08089224994182587, -0.234614297747612, -0.20414453744888306, 0.07946845144033432, 0.16557683050632477, -0.04298517107963562, 0.1752365529537201, -0.28065091371536255, 0.009856871329247952, 0.22605383396148682, 0.2239421308040619, 0.1107855811715126, -0.09001323580741882, 0.11637594550848007, -0.11080465465784073, 0.11055652797222137, 0.07958873361349106, 0.01508056465536356, 0.17003610730171204, 0.14069461822509766, -0.07214165478944778, -0.11463657766580582, -0.06682893633842468, -0.08371488004922867, -0.09429186582565308, 0.1355999857187271, 0.04451616480946541, 0.012418802827596664, -0.04983525350689888, -0.024874968454241753, -0.11056681722402573, 0.14870481193065643, 0.24406272172927856, 0.02132132463157177, 0.10619936883449554, -0.12623615562915802, -0.10004020482301712, 0.189228355884552, -0.17538335919380188, 0.33367612957954407, 0.0217276718467474, -0.3984229564666748, -0.09511543065309525, 0.42613357305526733, -0.08731788396835327, -0.007052117493003607, -0.05558077245950699, -0.33157646656036377, -0.2974693775177002, -0.06302676349878311, -0.3976536989212036, -0.13443619012832642, 0.28133395314216614, 0.07638998329639435, 0.21840710937976837, -0.2553848624229431, -0.04015000909566879, 0.31551116704940796, 0.24902752041816711, 0.23744246363639832, 0.22836735844612122, -0.0236442182213068, -0.023927709087729454, -0.04815717786550522, 0.1674773395061493, 0.2079976499080658, -0.04175255075097084, -0.13940639793872833, 0.08708594739437103, -0.010748682543635368, 0.17694328725337982, -0.04213466867804527, -0.24286791682243347, -0.15325361490249634, -0.12302139401435852, -0.017409348860383034, 0.12159021198749542, -0.28183984756469727, 0.02019583247601986, 0.18349815905094147, 0.03425002843141556, -0.3432222604751587, -0.1251499503850937, -0.05077827721834183, -0.15685735642910004, -0.028985977172851562, -0.03257039189338684, 0.17370234429836273, 0.167515829205513, -0.12047835439443588, -0.14929933845996857, -0.09615980088710785, 0.03917412832379341, 0.24849840998649597, -0.0005512152565643191, -0.045023247599601746, -0.30817320942878723, -0.2741694152355194, 0.06929543614387512, -0.03407541289925575, 0.2251209318637848, -0.20313827693462372, 0.2750799059867859]"
Infrared,Sensor,Infrared proximity sensor,"[-0.10815808176994324, -0.35759761929512024, 0.23651322722434998, -0.08459755033254623, 0.07067088782787323, -0.20162898302078247, -0.09454381465911865, 0.23565910756587982, -0.1289786547422409, 0.10001306980848312, 0.09881329536437988, -0.1301961988210678, -0.12107742577791214, 0.03757196664810181, 0.1411399394273758, 0.03365349397063255, 0.10540751367807388, 0.07335571199655533, -0.04810234159231186, 0.08690020442008972, 0.2251417189836502, 0.12252706289291382, -0.11409462243318558, -0.11513542383909225, -0.06373680382966995, 0.037043556571006775, -0.22795982658863068, -0.12678100168704987, 0.14393164217472076, 0.1371123194694519, -0.2475258857011795, 0.12380411475896835, -0.15708741545677185, -0.066252201795578, 0.1635020524263382, 0.1701122522354126, 0.12119641900062561, -0.06964503228664398, 0.20404578745365143, -0.012547028250992298, -0.06395188719034195, -0.050160761922597885, 0.1224614605307579, 0.09144410490989685, -0.0621628500521183, -0.17975878715515137, -0.14035451412200928, -0.12670329213142395, -0.09424761682748795, -0.048777177929878235, 0.1546183079481125, 0.17057476937770844, 0.11005327850580215, -0.00844695046544075, -0.06621714681386948, -0.05486030876636505, 0.09067759662866592, 0.13265733420848846, 0.11045192182064056, 0.11354943364858627, -0.09144064784049988, -0.007812033407390118, 0.27156418561935425, -0.2235279530286789, 0.18705657124519348, 0.09487279504537582, -0.15797533094882965, 0.12360131740570068, 0.38223960995674133, -0.10315287858247757, 0.04338685795664787, 0.07803433388471603, -0.22948437929153442, -0.20033980906009674, -0.040036123245954514, -0.42689603567123413, -0.11245580017566681, 0.21547187864780426, -0.02712661772966385, 0.04868108779191971, -0.10993240028619766, 0.036413464695215225, 0.2500845193862915, 0.27874621748924255, 0.16329073905944824, 0.027923323214054108, 0.13605621457099915, -0.15323443710803986, -0.12183050066232681, 0.0035585230216383934, 0.17259767651557922, 0.054334335029125214, -0.1600298434495926, 0.08359712362289429, 0.1818232536315918, 0.12613891065120697, -0.10853613168001175, -0.2523808777332306, 0.09823787212371826, -0.2645421624183655, -0.10001485794782639, 0.04068208113312721, -0.2347567230463028, 0.017105884850025177, 0.08394742757081985, 0.16720449924468994, -0.18106640875339508, -0.01857529953122139, -0.013310329988598824, -0.13405035436153412, 0.02362065576016903, 0.03131186217069626, -0.11537673324346542, 0.22587786614894867, -0.0396808423101902, -0.05581512302160263, 0.28951728343963623, -0.03980084881186485, 0.18956680595874786, 0.1658988744020462, -0.10757841169834137, -0.09848085045814514, -0.1694100797176361, -0.10676022619009018, 0.013273079879581928, 0.07698971778154373, -0.1443999707698822, 0.2670532763004303]"
